"Lead: Grace 
Matthews
",,,,,,,,
County / Year,2017,2018,2019,2020,2021,Source,FY or AY,Notes
Alameda,,,,,,,,
"- All Violent 
Crimes",675,670,633,700,651,,,
- Homicide,8,7,5,5,3,,,
- Rape,28,35,27,27,27,,,
- Robbery ,227,223,210,162,203,,,
"- Aggravated 
Assault",412,405,391,506,418,,,
"- All Property 
Crimes",2202,2064,2169,2286,1893,,,
- Arson,30,23,21,22,-,,,
- Burglary,377,385,354,369,256,,,
- Larceny-theft,1156,1192,1324,1165,970,,,
"- Motor vehicle 
theft ",669,487,491,752,667,,,
,,,,,,,,
Alpine,,,,,,,,
"- All Violent 
Crimes",13,12,13,19,19,,,
- Homicide,0,0,0,0,0,,,
- Rape,-,2,2,0,2,,,
- Robbery ,0,1,0,0,0,,,
"- Aggravated 
Assault",13,9,11,19,17,,,
"- All Property 
Crimes",29,27,29,13,23,,,
- Arson,0,0,0,0,-,,,
- Burglary,8,11,12,4,8,,,
- Larceny-theft,21,16,14,9,14,,,
"- Motor vehicle 
theft ",0,0,3,0,1,,,
,,,,,,,,
Amador,,,,,,,,
"- All Violent 
Crimes",87,83,66,90,88,,,
- Homicide,3,3,1,2,4,,,
- Rape,7,8,3,5,7,,,
- Robbery ,5,5,8,7,8,,,
"- Aggravated 
Assault",75,67,54,76,69,,,
"- All Property 
Crimes",356,338,416,312,407,,,
- Arson,0,4,4,3,-,,,
- Burglary,98,78,146,92,103,,,
- Larceny-theft,248,258,268,218,300,,,
"- Motor vehicle 
theft ",10,2,2,2,4,,,
,,,,,,,,
Butte,,,,,,,,
"- All Violent 
Crimes",161,327,283,341,350,,,
- Homicide,5,3,5,5,8,,,
- Rape,49,32,32,44,36,,,
- Robbery ,27,31,28,27,27,,,
"- Aggravated 
Assault",80,261,218,265,279,,,
"- All Property 
Crimes","1,229",1394,1290,1120,1025,,,
- Arson,0,2,3,5,-,,,
- Burglary,616,588,524,422,349,,,
- Larceny-theft,589,757,724,674,654,,,
"- Motor vehicle 
theft ",24,49,42,24,22,,,
,,,,,,,,
Calaveras,,,,,,,,
"- All Violent 
Crimes",200,187,139,146,164,,,
- Homicide,2,2,1,0,2,,,
- Rape,29,27,32,18,32,,,
- Robbery ,17,14,8,5,4,,,
"- Aggravated 
Assault",152,144,98,123,126,,,
"- All Property 
Crimes",588,615,668,557,471,,,
- Arson,0,0,0,0,-,,,
- Burglary,214,217,274,209,158,,,
- Larceny-theft,359,376,380,335,293,,,
"- Motor vehicle 
theft ",11,22,14,13,20,,,
,,,,,,,,
Colusa,,,,,,,,
"- All Violent 
Crimes",60,24,26,24,23,,,"from 2011-2020: 2017 had largest uptick in violent crime
by at least 30 cases"
- Homicide,1,2,0,0,0,,,
- Rape,9,7,8,3,6,,,
- Robbery ,1,5,4,3,4,,,
"- Aggravated 
Assault",49,10,14,18,13,,,
"- All Property 
Crimes",151,185,169,165,132,,,
- Arson,2,1,3,3,-,,,
- Burglary,57,68,53,55,40,,,
- Larceny-theft,91,114,111,108,89,,,
"- Motor vehicle 
theft ",3,3,5,2,3,,,
,,,,,,,,
Contra Costa,,,,,,,,
"- All Violent 
Crimes",318,300,332,298,297,,,
- Homicide,3,4,8,4,10,,,
- Rape,28,25,28,14,25,,,
- Robbery ,110,111,89,82,67,,,
"- Aggravated 
Assault",177,111,89,82,195,,,
"- All Property 
Crimes",1525,1462,1499,1178,1486,,,
- Arson,12,10,11,5,-,,,
- Burglary,500,376,411,304,280,,,
- Larceny-theft,993,1062,1053,827,1177,,,
"- Motor vehicle 
theft ",32,24,35,47,29,,,
,,,,,,,,
Del Norte,,,,,,,,
"- All Violent 
Crimes",113,102,84,121,132,,,
- Homicide,4,1,2,2,1,,,"peak in 2017, highest since 2011, other highests = 2"
- Rape,29,20,11,44,34,,,
- Robbery ,12,12,18,15,15,,,
"- Aggravated 
Assault",68,69,53,60,82,,,
