Lead: Zoe Colloredo-Mansfeld,"AY Drug overdose death rate per 100,000 citizens by county - deaths reported from California Comprehensive Death Files",,,,All Drug Related Overdose Deaths by County 2021-10.12.2022,,,,,,,,,,,,,
County / Year,2018,2019,2020,2021,2022,Source,FY or AY,Notes,,,,,,,,,,
Alameda,11.46,14.797,18.79,18.258,,"CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files , accessed via https://skylab.cdph.ca.gov/ODdash/?tab=CA",,,,,,,,26,15,11,Less than six,0
Alpine,0,97.278,89.445,86.73,,,,,,,,,,0,0,0,0,0
Amador,17.773,32.82,17.44,27.203,,,,,,,,,,Less than six,0,0,0,0
Butte,25.515,23.188,31.253,53.328,,,,,,,,,,17,0,0,0,0
Calaveras,15.348,26.348,19.605,26.16,,,,,,,,,,Less than six,0,0,0,Less than six
Colusa,0,18.365,23.025,4.585,,,,,,,,,,0,0,0,0,0
Contra Costa,13.735,14.188,20.012,22.468,,,,,,,,,,51,14,15,Less than six,Less than six
Del Norte,3.592,25.095,28.6,35.742,,,,,,,,,,0,0,0,0,0
El Dorado ,17.308,16.715,17.89,21.645,,,,,,,,,,Less than six,Less than six,Less than six,0,0
Fresno ,11.363,13.33,16.457,18.565,,,,,,,,,,20,Less than six,8,Less than six,Less than six
Glenn ,14.26,17.738,38.463,41.735,,,,,,,,,,Less than six,0,0,0,0
Humboldt,24.2,26.277,31.145,41.62,,,,,,,,,,14,0,0,0,Less than six
Imperial ,23.1,16.297,32.808,9.197,,,,,,,,,,Less than six,Less than six,11,0,0
Inyo ,38.917,27.775,44.248,54.93,,,,,,,,,,Less than six,0,0,0,Less than six
Kern ,24.98,28.87,39.252,52.562,,,,,,,,,,58,8,24,Less than six,Less than six
Kings,12.553,16.39,13.535,17.812,,,,,,,,,,Less than six,Less than six,0,0,0
Lake ,68.34,72.85,69.76,98.905,,,,,,,,,,16,Less than six,Less than six,0,0
Lassen,12.988,38.892,25.953,25.8,,,,,,,,,,Less than six,0,0,0,0
Los Angeles,9.508,12.363,19.555,22.14,,,,,,,,,,282,47,143,23,Less than six
Madera ,7.61,18.817,13.873,21.263,,,,,,,,,,Less than six,0,Less than six,0,0
Marin ,11.553,16.508,20.152,22.94,,,,,,,,,,6,0,Less than six,0,0
Mariposa ,5.725,28.775,29.053,40.583,,,,,,,,,,0,0,0,0,0
Mendocino ,35.383,47.72,47.288,82.99,,,,,,,,,,11,0,Less than six,0,Less than six
