County,2017,2018,2019,2020,2021
Alameda,43.90%,43.10%,41.90%,40.50%,40.70%
Alpine,72.50%,73.40%,61.40%,61.60%,60.70%
Amador,46.30%,42.10%,39.90%,41.60%,40.90%
Butte,59.10%,59.00%,58.90%,59.80%,62.00%
Calaveras,54.30%,52.60%,49.70%,47.60%,47.20%
Colusa,76.40%,75.20%,75.60%,68.60%,71.70%
Contra Costa,40.60%,40.90%,39.50%,38.60%,35.70%
Del Norte,64.90%,67.30%,66.30%,65.40%,66.80%
El Dorado ,33.30%,30.80%,30.90%,29.60%,27.90%
Fresno ,74.20%,74.30%,74.20%,76.40%,73.40%
Glenn ,70.50%,70.10%,69.00%,73.40%,72.60%
Humboldt,60.60%,59.00%,58.30%,58.70%,59.40%
Imperial ,75.80%,76.40%,77.30%,76.60%,75.90%
Inyo ,70.70%,70.20%,68.90%,65.10%,71.20%
Kern ,73.60%,73.10%,72.60%,71.60%,71.40%
Kings,71.00%,70.70%,70.40%,70.80%,70.90%
Lake ,76.70%,74.00%,72.50%,75.10%,71.30%
Lassen,50.20%,49.00%,48.90%,48.40%,51.00%
Los Angeles,69.30%,68.60%,68.90%,68.70%,67.20%
Madera ,79.30%,79.20%,79.70%,80.60%,79.60%
Marin ,28.50%,27.80%,28.70%,28.80%,28.00%
Mariposa ,58.80%,65.90%,64.80%,67.10%,62.80%
Mendocino ,72.20%,74.40%,74.40%,72.50%,73.20%
Merced ,77.70%,77.40%,77.20%,75.50%,74.90%
Modoc ,66.10%,71.80%,67.50%,68.30%,63.70%
Mono ,61.40%,58.50%,58.70%,47.90%,51.80%
Monterey,71.50%,71.60%,72.70%,74.80%,73.50%
Napa ,50.70%,48.10%,48.30%,50.30%,50.30%
Nevada ,51.70%,50.20%,50.10%,47.50%,43.30%
Orange,49.30%,48.80%,48.80%,49.10%,46.50%
Placer ,28.60%,28.10%,28.10%,27.60%,24.70%
Plumas ,55.00%,50.80%,56.90%,59.60%,52.90%
Riverside ,65.30%,64.90%,65.10%,65.40%,67.70%
Sacramento ,60.30%,59.90%,60.10%,56.80%,54.70%
San Benito ,57.90%,57.40%,56.20%,57.90%,52.70%
San Bernardino ,71.70%,71.10%,71.60%,70.90%,67.20%
San Diego ,51.40%,50.70%,50.10%,49.00%,48.70%
San Francisco ,52.10%,51.40%,48.20%,49.60%,50.50%
San Joaquin ,64.40%,61.50%,61.90%,62.80%,59.20%
San Luis Obispo ,44.80%,44.00%,43.80%,45.10%,50.20%
San Mateo ,34.30%,34.30%,32.80%,31.30%,30.60%
Santa Barbara ,63.40%,62.80%,62.10%,61.60%,61.60%
Santa Clara,37.70%,35.90%,34.90%,32.40%,32.70%
Santa Cruz ,52.80%,53.90%,53.10%,52.10%,52.20%
Shasta ,55.20%,55.60%,55.00%,53.60%,54.20%
Sierra ,46.90%,44.50%,46.10%,46.10%,42.60%
Siskiyou ,63.30%,64.50%,65.50%,63.70%,62.50%
Solano ,52.30%,51.60%,49.90%,49.50%,45.20%
Sonoma ,47.60%,45.10%,45.10%,45.60%,40.80%
Stanislaus ,69.40%,67.70%,67.20%,65.60%,66.20%
Sutter ,62.90%,62.40%,63.90%,63.00%,62.40%
Tehama ,70.80%,69.70%,72.20%,69.00%,66.50%
Trinity ,63.50%,66.10%,67.80%,63.40%,66.30%
Tulare ,76.50%,75.70%,76.50%,75.50%,75.30%
Tuolumne ,50.30%,48.30%,48.00%,44.20%,45.80%
Ventura,53.80%,51.70%,52.40%,52.70%,51.80%
Yolo ,52.40%,51.80%,49.00%,47.70%,53.80%
Yuba,69.70%,68.80%,68.50%,63.10%,62.90%
