County,2017,2018,2019,2020,2021,2022
Alameda,6,9,6,5,6,6
Alpine,,,43,49,44,43
Amador,19,18,16,14,20,21
Butte,37,32,32,33,30,32
Calaveras,22,22,23,23,27,26
Colusa,35,37,41,44,48,52
Contra Costa,9,8,10,9,7,9
Del Norte,50,49,50,48,52,53
El Dorado ,7,7,7,8,10,12
Fresno ,51,53,52,51,51,51
Glenn ,46,45,44,47,49,50
Humboldt,32,30,37,34,29,28
Imperial ,57,56,56,58,58,58
Inyo ,25,25,24,26,22,24
Kern ,55,57,57,57,56,57
Kings,53,48,53,55,53,54
Lake ,49,52,54,52,47,48
Lassen,41,42,38,43,42,36
Los Angeles,36,34,30,32,31,35
Madera ,52,51,51,54,55,49
Marin ,1,1,1,1,1,1
Mariposa ,26,28,27,28,28,37
Mendocino ,31,38,39,38,36,39
Merced ,54,54,55,53,54,56
Modoc ,34,35,40,45,50,47
Mono ,20,21,21,22,17,20
Monterey,27,31,33,36,35,38
Napa ,15,12,12,11,14,15
Nevada ,13,15,15,16,8,8
Orange,8,6,9,7,9,10
Placer ,4,3,3,3,2,4
Plumas ,29,29,29,27,33,29
Riverside ,40,39,35,35,32,33
Sacramento ,28,27,25,24,24,23
San Benito ,23,24,22,25,25,22
San Bernardino ,45,44,47,41,40,45
San Diego ,18,20,20,18,18,16
San Francisco ,5,5,5,6,5,5
San Joaquin ,44,43,46,40,43,44
San Luis Obispo ,12,10,8,10,12,7
San Mateo ,2,2,2,2,3,2
Santa Barbara ,17,17,17,19,19,18
Santa Clara,3,4,4,4,4,3
Santa Cruz ,16,13,14,17,15,14
Shasta ,38,36,31,29,26,27
Sierra ,30,26,28,30,34,31
Siskiyou ,33,33,36,37,37,34
Solano ,24,23,26,21,21,19
Sonoma ,10,11,11,12,11,11
Stanislaus ,47,41,42,39,39,42
Sutter ,39,40,34,31,38,30
Tehama ,42,47,45,42,46,46
Trinity ,43,46,48,46,41,41
Tulare ,56,55,58,56,57,55
Tuolumne ,21,19,19,20,23,25
Ventura,11,16,18,15,16,17
Yolo ,14,14,13,13,13,13
Yuba,48,50,49,50,45,40
