County,2017,2018,2019,2020,2021,2022
Alameda,8,12,12,7,14,10
Alpine,,,34,33,32,30
Amador,23,28,25,25,24,23
Butte,36,37,35,43,35,29
Calaveras,24,22,24,23,28,28
Colusa,26,29,27,30,29,27
Contra Costa,9,11,11,10,15,14
Del Norte,40,39,45,45,50,51
El Dorado ,15,17,17,17,11,17
Fresno ,52,51,50,48,46,45
Glenn ,33,42,40,35,44,40
Humboldt,47,49,49,47,45,39
Imperial ,32,30,31,29,27,33
Inyo ,48,35,43,50,42,41
Kern ,53,52,52,52,53,53
Kings,37,33,30,32,33,32
Lake ,56,57,58,58,57,56
Lassen,29,36,39,42,48,48
Los Angeles,35,23,23,21,22,24
Madera ,45,40,36,38,36,37
Marin ,2,1,1,1,1,1
Mariposa ,38,34,42,44,30,31
Mendocino ,43,44,41,41,41,44
Merced ,49,45,47,39,38,38
Modoc ,57,53,56,55,55,55
Mono ,20,15,18,18,19,16
Monterey,22,21,21,22,20,21
Napa ,6,5,7,8,5,5
Nevada ,13,14,14,16,17,20
Orange,7,6,5,5,6,6
Placer ,4,4,4,4,3,4
Plumas ,51,55,54,54,54,54
Riverside ,28,25,26,26,25,25
Sacramento ,31,31,29,28,26,26
San Benito ,17,19,20,20,21,18
San Bernardino ,46,41,38,40,43,43
San Diego ,12,10,10,13,13,15
San Francisco ,11,8,6,6,7,7
San Joaquin ,39,46,44,34,39,42
San Luis Obispo ,18,13,15,14,16,13
San Mateo ,1,2,2,2,2,2
Santa Barbara ,19,18,19,19,18,19
Santa Clara,3,3,3,3,4,3
Santa Cruz ,16,16,13,12,9,11
Shasta ,42,47,48,46,49,46
Sierra ,34,27,37,36,40,50
Siskiyou ,54,56,57,57,56,57
Solano ,27,26,22,24,23,22
Sonoma ,5,7,8,9,8,8
Stanislaus ,41,38,33,37,34,36
Sutter ,30,32,32,31,37,35
Tehama ,35,43,46,49,51,52
Trinity ,55,54,55,56,58,58
Tulare ,50,50,51,53,47,47
Tuolumne ,21,24,28,27,31,34
Ventura,10,9,9,11,12,9
Yolo ,14,20,16,15,10,12
Yuba,44,48,53,51,52,49
