County,2017,2018,2019,2020,2021
Alameda,2202,2064,2169,2286,1893
Alpine,29,27,29,13,23
Amador,356,338,416,312,407
Butte,1229,1394,1290,1120,1025
Calaveras,588,615,668,557,471
Colusa,151,185,169,165,132
Contra Costa,1525,1462,1499,1178,1486
Del Norte,348,299,424,313,192
El Dorado ,2003,1991,1695,1735,1534
Fresno ,3334,3395,3281,3035,3146
Glenn ,235,444,362,288,200
Humboldt,949,899,1092,967,995
Imperial ,641,721,588,711,553
Inyo ,170,139,192,165,138
Kern ,9086,9472,9449,8708,8725
Kings,473,100,85,68,402
Lake ,558,164,150,171,474
Lassen,233,224,172,106,184
Los Angeles,17336,15912,15040,15554,15643
Madera ,1102,1138,1017,673,1125
Marin ,776,685,738,812,610
Mariposa ,269,192,171,183,223
Mendocino ,381,383,414,664,535
Merced ,1504,1434,1515,1357,1559
Modoc ,43,41,29,31,18
Mono ,58,45,53,58,31
Monterey,1311,1331,1125,1084,885
Napa ,217,222,269,336,233
Nevada ,620,423,424,342,395
Orange,1178,1089,881,909,963
Placer ,1447,1284,1077,952,950
Plumas ,293,312,294,282,250
Riverside ,7700,7529,7220,6901,6621
Sacramento ,9224,7909,8067,7753,7900
San Benito ,144,152,152,158,191
San Bernardino ,5076,4809,3945,3251,3558
San Diego ,4548,4533,4300,3894,9313
San Francisco ,57067,58817,57081,43809,44702
San Joaquin ,2961,543,701,638,2446
San Luis Obispo ,1116,1083,963,1065,1067
San Mateo ,3109,2840,3245,2896,2482
Santa Barbara ,1499,1208,1257,1616,1563
Santa Clara,1271,1421,1518,1296,1102
Santa Cruz ,1794,1807,1630,1566,1278
Shasta ,944,972,824,666,50
Sierra ,24,22,31,17,35
Siskiyou ,241,172,146,154,120
Solano ,368,396,377,419,330
Sonoma ,1149,1080,1089,986,947
Stanislaus ,1647,1735,1602,1171,1054
Sutter ,600,591,576,530,573
Tehama ,432,452,472,384,310
Trinity ,179,194,190,147,154
Tulare ,1703,1976,1893,1884,1762
Tuolumne ,622,555,669,603,559
Ventura,817,697,543,730,742
Yolo ,282,287,294,266,346
Yuba,1156,912,847,880,730
