County,2017,2018,2019,2020,2021,2022
Alameda,3.1,3,2.7,7.8,3.8,3.1
Alpine,4.1,3.6,4.7,8.6,5.4,5.6
Amador,4.4,4.1,3.9,8.5,5,4
Butte,5.2,6,4.6,8.3,4.8,4.1
Calaveras,4.1,4,3.7,7.1,3.9,3.2
Colusa,15.3,16.7,14.9,14.7,11.6,7.6
Contra Costa,3.3,3.2,2.9,8,4.1,3.3
Del Norte,6.2,6.7,6.2,9.3,5.3,4.7
El Dorado ,3.7,3.7,3.3,7.1,3.8,3
Fresno ,8.3,7.8,7.4,10.6,6.9,5.9
Glenn ,6.6,6.8,5.9,7.6,5.1,4.9
Humboldt,3.6,3.7,3.3,7.8,4.1,3.7
Imperial ,17.6,18.8,20.8,18,14,16.2
Inyo ,4,4.3,3.3,7,4.1,3.1
Kern ,8.6,7.8,7.6,11.2,7.5,6.7
Kings,8.5,8.4,8.2,10.9,7.5,6.3
Lake ,5.8,5.9,5.5,9.2,5.8,4.4
Lassen,5.1,5,4.5,7.1,4.2,3.7
Los Angeles,4.4,4.4,4,11,5.6,4.9
Madera ,7.7,7.3,7,10,6.6,5.6
Marin ,2.4,2.4,2.1,5.8,2.7,2.4
Mariposa ,6.3,5.8,4.6,11.5,5.8,3.9
Mendocino ,4.3,4.5,4,8,4.4,3.4
Merced ,9,8.7,8.4,11.7,8.1,6.8
Modoc ,9.3,8.9,7.6,9,5.4,4
Mono ,4,3.9,3.5,9.8,4.9,3.4
Monterey,8.6,8.3,7.9,11.1,7.3,4.4
Napa ,3.7,3.4,3.1,8.1,4.1,2.8
Nevada ,3.6,3.5,3.1,7,3.7,3
Orange,3,2.9,2.6,7.7,3.7,3
Placer ,3.3,3.2,2.9,6.2,3.2,2.8
Plumas ,9.2,9,8.2,11,8.1,5
Riverside ,4.5,4.3,3.8,8.9,4.9,4.3
Sacramento ,4,3.8,3.4,8.6,4.7,3.8
San Benito ,5.5,5.5,5.1,8.7,5.5,4.2
San Bernardino ,4.1,3.9,3.5,9.1,5,4.2
San Diego ,3.4,3.3,3,8.4,4.1,3.4
San Francisco ,2.5,2.3,2,6.7,3,2.3
San Joaquin ,6.5,6.4,6,10.4,6.2,5.2
San Luis Obispo ,3.1,3,2.7,6.8,3.3,2.7
San Mateo ,2.3,2.1,1.9,6,2.7,2.1
Santa Barbara ,4.4,4.3,3.7,7.6,3.9,2.9
Santa Clara,2.7,2.5,2.3,6.1,2.8,2.3
Santa Cruz ,5.8,5.7,5.2,8.4,5.2,3.8
Shasta ,5.2,5,4.5,8.1,4.8,4.2
Sierra ,5.8,5.8,4.9,7.6,4.3,3.1
Siskiyou ,7.6,7.6,6.9,10.3,6.5,4.8
Solano ,4.2,4,3.6,9.2,5.1,4.2
Sonoma ,2.9,2.8,2.5,6.8,3.4,2.8
Stanislaus ,6.9,6.6,6,9.9,6.1,5.2
Sutter ,8.6,8.5,7.8,10.4,7.1,5.6
Tehama ,5.6,5.9,5.3,8.3,5.1,4.5
Trinity ,6.3,5.9,5.7,8,4.7,3.5
Tulare ,10.5,10.1,10.1,11.6,8.1,7.9
Tuolumne ,4.9,4.7,4.3,9.5,5,4.2
Ventura,4.1,4,3.6,7.7,4.2,3.5
Yolo ,4.7,4.6,4.2,7.1,4.1,3.4
Yuba,6.8,6.7,6,9.9,6,5.3
