Month,ADMISSIONS,New Commitment,Split Sentence,Parole Re-admissions,Probation Revocation,Returned Escapees,Others,Total Monthly Jurisdictional Admissions,Jurisdictional Admissions Y-T-D,Admissions to ADOC Custody,Admissions to ADOC Custody Y-T-D,RELEASES,End of Sentence,Paroles Granted,Parole Releases,Parole Releases Y-T-D,Split Sentence,Mandatory Release,Other,Total Monthly Jurisdictional Releases,Jurisdictional Releases Y-T-D,Total Monthly Custody Releases,Custody Releases Y-T-D
Jan 2017,,200,269,81,168,59,186,963,"3,888",575,"2,820",,293,292,278,"1,157",327,,192,"1,090","4,647",732,"3,245"
Feb 2017,,187,279,68,170,69,197,970,"4,860",571,"3,385",,246,369,291,"1,448",304,,214,"1,055","5,702",716,"3,961"
Mar 2017,,213,281,78,174,64,210,"1,020","5,886",728,"4,101",,288,333,313,"2,074",359,,207,"1,167","8,036",798,"5,557"
Apr 2017,,170,208,78,150,56,183,845,"6,793",730,"4,819",,261,308,457,"2,675",324,,203,"1,245","9,359",930,"6,619"
May 2017,,244,347,64,174,76,256,"1,161","8,248",821,"5,609",,275,384,489,"2,707",355,,266,"1,385","9,499","1,015","6,704"
Jun 2017,,218,277,74,210,70,235,"1,084","9,451",789,"6,360",,236,309,362,"3,429",272,,279,"1,149","11,745",849,"8,376"
Jul 2017,,116,170,78,129,55,139,687,"10,185",472,"6,817",,233,219,384,"3,451",296,,269,"1,182","11,778",861,"8,388"
Aug 2017,,237,332,83,238,65,286,"1,241","11,477",754,"7,532",,248,219,356,"3,807",372,,235,"1,211","12,989",898,"9,286"
Sep 2017,,215,231,79,192,59,244,"1,020","12,643",814,"8,297",,246,296,308,"4,115",336,,321,"1,211","14,200",864,"10,150"
Oct 2017,,224,341,147,275,67,102,"1,156","1,156",847,847,,234,342,308,308,348,,292,"1,182","1,182",817,817
Nov 2017,,225,318,177,269,65,89,"1,143","2,299",835,"1,682",,235,412,300,607,349,,312,"1,196","2,378",824,"1,639"
Dec 2017,,154,190,161,254,50,64,873,"3,220",756,"2,435",,255,277,219,820,340,,318,"1,132","3,488",763,"2,375"
Jan 2018,,178,188,145,231,65,83,890,"4,126",748,"3,178",,273,238,339,"1,159",336,,302,"1,250","4,742",852,"3,228"
Feb 2018,,156,179,166,222,79,112,914,"5,147",669,"3,837",,257,249,405,"1,559",311,,249,"1,222","5,994",882,"4,118"
Mar 2018,,131,136,141,240,72,79,799,"6,152",788,"4,606",,249,439,323,"1,869",313,,312,"1,197","7,219",846,"4,968"
Apr 2018,,153,206,183,250,56,87,935,"7,607",806,"5,390",,241,329,501,"2,360",358,,340,"1,440","8,698","1,069","6,043"
May 2018,,247,305,214,318,65,107,"1,256","9,123",892,"6,226",,229,437,323,"2,661",376,,293,"1,221","9,966",838,"6,890"
Jun 2018,,177,214,190,336,58,117,"1,092","10,402",780,"6,960",,242,267,306,"2,951",338,,323,"1,209","11,193",852,"7,732"
Jul 2018,,106,172,205,237,81,83,884,"11,491",893,"7,791",,252,287,309,"3,231",321,,354,"1,236","12,457",874,"8,605"
Aug 2018,,235,293,217,346,67,110,"1,268","12,879","1,001","8,701",,270,337,459,"3,679",385,,330,"1,444","13,982","1,030","9,694"
