Date,Crimes Against Persons,Property Crimes,Drug Crimes,Other Crimes,Missing,,,x = no number
January 2018,"1,372",563,256,635,,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2021/11/201912_DataPoints.pdf,,
February 2018,"1,405",509,208,582,,,,
March 2018,"1,711",621,283,746,,,,
April 2018,"1,334",535,222,580,,,,
May 2018,"1,832",607,278,745,,,,
June 2018,"1,574",611,212,687,,,,
July 2018,"1,722",630,257,707,,,,
August 2018,"1,593",561,234,717,,,,
September 2018,"1,312",517,224,618,,,,
October 2018,"1,650",605,230,668,,,,
November 2018,"1,450",514,213,594,,,,
December 2018,"1,379",560,203,661,,,,
January 2019,"1,387",513,210,608,,,,
February 2019,"1,343",506,196,535,,,,
March 2019,"1,556",594,276,747,,,,
April 2019,"1,593",589,241,670,,,,
May 2019,"1,510",578,231,732,,,,
June 2019,"1,497",563,243,653,,,,
July 2019,"1,519",582,234,680,,,,
August 2019,"1,545",574,240,672,,,,
September 2019,"1,419",509,224,668,,,,
October 2019,"1,680",558,221,718,,,,
November 2019,"1,367",472,182,569,,,,
December 2019,"1,414",475,182,632,,,,
January 2020,1383,497,201,666,41,,,
February 2020,1253,475,177,499,30,,,
March 2020,1164,416,152,527,13,,,
April 2020,*,x,x,x,*,,,
May 2020,22,*,*,*,x,,,
June 2020,102,40,16,37,x,,,
July 2020,*,x,x,x,x,,,
August 2020,64,*,*,25,*,,,
September 2020,336,87,32,82,*,,,
October 2020,908,242,86,320,*,,,
November 2020,1018,259,89,386,*,,,
December 2020,*,*,x,*,*,,,
January 2021,329,95,49,114,,,,
February 2021,1010,277,104,350,*,,,
March 2021,1250,331,137,438,*,,,
April 2021,1435,418,161,524,*,,,
May 2021,1690,501,217,671,*,,,
June 2021,1797,539,195,787,12,,,
July 2021,1657,446,195,655,*,,,
August 2021,1586,430,166,645,*,,,
September 2021,1342,398,159,537,*,,,
October 2021,1270,374,150,598,*,,,
November 2021,1428,375,149,553,*,,,
December 2021,1536,488,201,668,11,,,
January 2022,234,79,20,98,*,,,
February 2022,885,271,111,348,*,,,
March 2022,1898,535,193,841,*,,,
April 2022,1680,490,185,760,11,,,
May 2022,1729,523,236,725,*,,,
June 2022,1464,394,167,592,*,,,
July 2022,1147,377,136,519,14,,,
August 2022,1374,356,160,582,*,,,
September 2022,1300,379,169,589,12,,,
October 2022,1153,351,136,556,*,,,
November 2022,1220,370,146,538,10,,,
December 2022,1212,390,131,563,103,,,
