Date,Crimes Against Persons,Property Crimes,Drug Crimes,Other Crimes,Missing,
January 2018,"98,544","13,755","5,621","11,637",,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2021/11/201912_DataPoints.pdf
February 2018,"98,444","13,798","5,615","11,546",,
March 2018,"98,599","13,716","5,628","11,706",,
April 2018,"98,313","13,617","5,604","11,464",,
May 2018,"98,465","13,590","5,587","11,677",,
June 2018,"98,459","13,627","5,574","11,757",,
July 2018,"98,397","13,619","5,558","11,736",,
August 2018,"98,235","13,591","5,522","11,760",,
September 2018,"98,112","13,540","5,508","11,564",,
October 2018,"97,950","13,493","5,459","11,670",,
November 2018,"97,820","13,405","5,355","11,648",,
December 2018,"97,542","13,301","5,272","11,594",,
January 2019,"97,129","13,136","5,193","11,378",,
February 2019,"96,949","13,042","5,127","11,419",,
March 2019,"96,828","13,092","5,160","11,479",,
April 2019,"96,815","13,054","5,177","11,554",,
May 2019,"96,380","12,894","5,114","11,443",,
June 2019,"96,085","12,910","5,083","11,394",,
July 2019,"95,970","12,898","5,066","11,361",,
August 2019,"95,708","12,762","4,937","11,725",,
September 2019,"95,612","12,797","4,957","11,655",,
October 2019,"95,660","12,791","4,935","11,558",,
November 2019,"95,434","12,627","4,848","11,591",,
December 2019,"95,559","12,593","4,795","11,080",,
January 2020,95294,12495,4711,10547,602,
February 2020,94982,12436,4624,10397,684,
March 2020,94862,12302,4530,10285,430,
April 2020,92941,11268,4106,9227,225,
May 2020,91743,11102,4060,9083,209,
June 2020,90346,10488,3853,8541,175,
July 2020,87570,8494,2937,6722,152,
August 2020,85292,7559,2480,5787,142,
September 2020,83035,7125,2326,5477,181,
October 2020,82737,7029,2275,5481,157,
November 2020,82640,6951,2234,5579,125,
December 2020,81330,6602,2107,5279,114,
January 2021,80586,6428,2048,5129,119,
February 2021,80741,6451,2060,5208,147,
March 2021,80976,6491,2065,5316,184,
April 2021,81453,6628,2117,5541,111,
May 2021,82055,6845,2224,5878,198,
June 2021,82650,6988,2290,6253,291,
July 2021,83019,6999,2316,6373,238,
August 2021,83186,7058,2340,6548,236,
September 2021,82641,7166,2410,6680,178,
October 2021,82568,7266,2462,6868,163,
November 2021,82588,7269,2486,6921,246,
December 2021,82592,7371,2554,7093,119,
January 2022,81024,6920,2342,6483,94,
February 2022,80198,6651,2256,6220,229,
March 2022,80352,6669,2274,6467,298,
April 2022,80550,6751,2302,6735,296,
May 2022,80771,6876,2379,6915,213,
June 2022,80719,6867,2405,6970,218,
July 2022,80361,6831,2377,6929,221,
August 2022,80178,6790,2381,6971,231,
September 2022,80040,6789,2410,7024,153,
October 2022,79644,6741,2401,6979,202,
November 2022,79453,6731,2423,6966,220,
December 2022,79335,6740,2415,7032,185,
