,Black,Black,Black,Black,White,White,White,White
,Violent,Drug,Property,Other,Violent,Drug,Property,Other
15,7,0,0,0,1,0,1,0
16,65,0,1,0,15,0,0,0
17,158,0,3,3,30,0,1,2
18,431,3,15,13,58,0,10,4
19-20,1309,26,96,80,216,19,28,44
21-24,2750,167,214,271,553,74,108,151
25-29,2469,409,239,493,770,180,268,274
30-34,1611,501,212,402,684,264,297,381
35-39,1135,416,172,323,569,263,278,350
40-44,777,306,141,210,429,198,186,280
45-49,460,125,136,136,282,138,121,208
50-54,334,76,105,96,224,74,74,175
55-50,183,46,100,66,135,39,34,131
60-69,104,40,44,48,131,19,25,122
70+,7,2,0,5,25,0,1,20
