CHAPTER,CHAPDEC,SECTION,SCPUNCT,SUBSECT,PARAGRF,STATUTE,EFFDATE,DateAdd,SGOFF,SENTENCE,MAN_MIN,MAN_UNIT,RETIREDATE,MM,MM_clean,VCC,IBRCODE,FelonyTimeServed,HEADING,SUBHEAD,DESCRTN
3,2,4212,,,"D,i","3.2-4212(D,i)",7/1/09,7/1/09,N,0-12M,90,D,,90 D,3,AGR-4632-M1,,0,"AGRICULTURE, HORTICULTURE & FOOD",Tobacco Product Manufacturers,"Sell or distribute cigarettes not in directory, ≥ 3000 pkgs."
3,2,4212,,,"D,ii","3.2-4212(D,ii)",7/1/09,7/1/09,N,0-12M,90,D,,90 D,3,AGR-4634-M1,,0,"AGRICULTURE, HORTICULTURE & FOOD",Tobacco Product Manufacturers,"Possess, import, etc., cigarettes not in directory, ≥ 3000 pkgs."
4,1,302,.,,,4.1-302,,4/28/94,N,0-12M,30,D,,30 D,1,ALC-4163-M1,,0,ALCOHOL,Sell,"Sale, illegal alcohol - subsequent"
16,1,253,.,2,A,16.1-253.2(A),7/1/16,7/1/16,N,0-12M,60,D,,60 D,2,PRT-5001-M1,,0,PROTECTIVE ORDERS,Juvenile & Domestic Court,Violation of protective order (violence) 2nd w/in 5 yrs.
16,1,253,.,2,A,16.1-253.2(A),7/1/16,7/1/16,N,1Y-5Y (II),6,M,,6 M,6,PRT-5002-F6,,1,PROTECTIVE ORDERS,Juvenile & Domestic Court,Violation of protective order (violence) 3rd w/in 20 yrs.
18,2,31,,,6,18.2-31(6),7/1/21,7/1/21,N,Life-Life (I),,Life,,Life,600,MUR-0923-F1,,1,MURDER,Aggravated,Law enforcement officer
18,2,36,.,1,B,18.2-36.1(B),,,Y,1Y-20Y (II),1,Y,,1 Y,12,MUR-0948-F9,,3,MURDER,Manslaughter,"Involuntary manslaughter, under the influence - vehicular, aggravated"
18,2,36,.,2,B,18.2-36.2(B),7/1/05,7/2/05,N,1Y-20Y (II),1,Y,,1 Y,12,MUR-0949-F9,,3,MURDER,Manslaughter,"Involuntary manslaughter, under the influence - watercraft, aggravated"
18,2,46,.,2,,18.2-46.2,7/1/05,7/1/05,N,1Y-10Y,2,Y,,2 Y,24,MOB-1280-F5,,3,GANGS,"Participation - School Zone, Community Center, Etc.","Participation in crime for benefit/direction of gang - school, etc."
18,2,46,.,2,,18.2-46.2,7/1/05,7/1/05,N,2Y-10Y,2,Y,,2 Y,24,MOB-1281-F4,,3,GANGS,"Participation - School Zone, Community Center, Etc.","Participation in crime for gang that includes juvenile - school, etc."
18,2,51,.,1,,18.2-51.1,7/1/97,7/1/97,Y,5Y-30Y (II),2,Y,,2 Y,24,ASL-1326-F9,,1,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Malicious bodily injury to law enforcement, fire or EMS"
18,2,51,.,1,,18.2-51.1,,,Y,1Y-5Y (II),1,Y,,1 Y,12,ASL-1330-F6,,2,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Non-malicious injury to law enforcement, fire/EMS personnel, etc."
18,2,53,.,1,,18.2-53.1,,,Y,3Y-3Y (II),3,Y,,3 Y,36,ASL-1319-F9,,3,ASSAULT,Firearm,Firearm use in commission of felony - first offense
18,2,53,.,1,,18.2-53.1,,,Y,5Y-5Y (II),5,Y,,5 Y,60,ASL-1323-F9,,3,ASSAULT,Firearm,Firearm use in commission of felony - subsequent offense
18,2,57,,,C,18.2-57(C),7/1/97,7/1/97,Y,1Y-5Y,6,M,,6 M,6,ASL-1342-F6,,3,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Simple assault on law enforcement, court, DOC, fire/medical, etc."
18,2,57,,,D,18.2-57(D),7/1/99,7/1/99,N,0-12M,2,D,,2 D,x,ASL-1312-M1,,0,ASSAULT,"Simple Assault - Teacher, School Employee","Simple assault, on teacher, principal, school employee, etc."
